PositionGroup,Weather,Temperature,FieldType,StadiumType,Injured
OL,Sunny,27,Natural,Outdoor,0
DB,Mostly Cloudy,51,Natural,Outdoor,0
WR,Mostly Cloudy,85,Synthetic,Indoors,0
WR,Sunny and clear,43,Natural,Outdoor,0
DL,Cloudy,36,Natural,Outdoor,0
LB,Cloudy,66,Natural,Outdoor,0
DL,Partly Cloudy,86,Synthetic,Indoors,0
WR,Partly Cloudy,86,Natural,Outdoor,0
TE,Partly Cloudy,47,Synthetic,Outdoor,0
DB,Partly Cloudy,89,Synthetic,Retractable Roof,0
OL,"Cloudy, light snow accumulating 1-3""",24,Natural,Outdoor,0
WR,Sunny,87,Synthetic,Retractable Roof,0
LB,Mostly cloudy,67,Synthetic,"Domed, open",0
DL,Clear,71,Natural,Outdoor,0
OL,Sunny,68,Natural,Outdoor,0
WR,Partly Cloudy,86,Natural,Outdoor,0
LB,Sunny,72,Natural,Outdoors,0
RB,Clear and Cool,40,Synthetic,Outdoor,0
WR,"Cloudy, chance of rain",61,Synthetic,Outdoor,0
LB,Sunny,60,Synthetic,Retractable Roof,0
RB,Sunny,65,Natural,Outdoor,0
LB,Cloudy,29,Natural,Outdoor,0
WR,Clear,88,Natural,Outdoor,0
DL,Sunny,46,Natural,Outdoor,0
LB,Cloudy,45,Synthetic,Outdoor,0
WR,Sunny,88,Synthetic,Outdoor,0
DB,Cloudy and Cool,62,Synthetic,Outdoor,0
DB,Sunny,46,Natural,Outdoor,0
LB,Partly Cloudy,71,Natural,Outdoor,0
OL,Clear,73,Natural,Outdoor,0
DB,Mostly Cloudy,73,Natural,Outdoor,0
OL,Sunny,81,Natural,Ourdoor,0
DB,Mostly Cloudy,51,Natural,Outdoor,0
LB,Mostly Sunny,87,Synthetic,Outdoor,0
LB,Cloudy,53,Natural,Outdoor,0
DL,Sunny,67,Natural,Outdoors,0
LB,Cloudy,19,Natural,Outdoor,0
DB,Clear,55,Natural,Outdoor,0
WR,Mostly Sunny,39,Synthetic,Outdoor,0
OL,Cloudy,61,Natural,Outdoor,0
RB,Sunny,54,Natural,Outdoor,0
LB,Clear,62,Natural,Outdoor,0
WR,Mostly Cloudy,87,Synthetic,Retractable Roof,0
DB,Controlled Climate,68,Synthetic,Indoors,0
LB,Sunny,72,Natural,Outdoor,0
DL,Cloudy,91,Natural,Outdoor,0
DB,Cloudy,47,Synthetic,Outdoor,0
DB,Mostly Cloudy,87,Synthetic,Retractable Roof,0
DB,Partly Cloudy,80,Natural,Outdoors,0
OL,Sunny,63,Synthetic,Outdoor,0
OL,Cloudy,53,Natural,Outdoor,0
WR,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
WR,Sunny,40,Synthetic,Outdoor,0
DL,Clear,59,Natural,Outdoor,0
OL,Sunny,88,Natural,Outddors,0
DB,Cloudy,26,Natural,Outdoor,0
LB,Clear,10,Natural,Outdoor,0
DB,Cloudy,60,Natural,Outdoor,0
WR,Fair,50,Natural,Outdoor,0
LB,Clear,87,Natural,Outdoor,0
DB,Clear and Cool,40,Synthetic,Outdoor,0
DB,Mostly Cloudy,60,Natural,Outdoor,0
DB,Cloudy,53,Natural,Outdoor,0
LB,Partly Cloudy,48,Natural,Outdoors,0
DB,Cloudy,59,Synthetic,Retr. Roof - Closed,0
OL,Cloudy and Cool,62,Synthetic,Outdoor,0
OL,Clear,44,Natural,Outdoor,0
DB,Clear,79,Natural,Outdoor,0
DB,Cloudy,75,Natural,Outdoors,0
LB,Partly Cloudy,86,Natural,Outdoor,0
WR,cloudy,48,Natural,Outdoor,0
DL,Mostly Cloudy,82,Natural,Outdoor,0
LB,Partly Cloudy,33,Natural,Outdoor,0
QB,Cloudy,52,Natural,Outdoor,0
DB,Clear,44,Natural,Outdoor,0
RB,Clear,57,Natural,Outdor,0
LB,Cloudy,70,Natural,Outdoor,0
OL,Cloudy,43,Natural,Outdoor,0
WR,Cloudy,82,Natural,Outdoor,0
WR,Clear and warm,63,Synthetic,Outdoor,0
DL,Sunny,65,Natural,Outdoor,0
RB,Sunny,47,Synthetic,Retr. Roof-Open,0
OL,Mostly Sunny,41,Natural,Outdoor,0
LB,Sunny,64,Natural,Outdoor,0
DB,Clear,55,Natural,Outdoor,0
DB,Hazy,62,Natural,Outdoor,0
LB,Sunny,63,Synthetic,Outdoor,0
RB,Sunny,59,Synthetic,"Domed, open",0
LB,Partly Sunny,69,Natural,Outdoor,0
DL,Sunny,68,Natural,Outdoor,0
DB,Sunny,46,Natural,Outdoors,0
LB,Cloudy,68,Natural,Outdoor,0
OL,Cloudy,43,Synthetic,Outdoor,0
OL,Partly Cloudy,84,Natural,Open,0
WR,Sunny,28,Natural,Outdoor,0
DL,Partly Cloudy,42,Natural,Outdoors,0
DB,Cloudy,43,Synthetic,Outdoor,0
WR,Cloudy,33,Natural,Outdoor,0
WR,Mostly Cloudy,84,Synthetic,Retractable Roof,0
DB,Sunny,80,Synthetic,Outdoor,0
OL,Partly Cloudy,76,Natural,Open,0
DB,Sunny,64,Synthetic,Outdoor,0
DB,Sunny,44,Natural,Outdoor,0
OL,Clear,61,Natural,Outdoor,0
LB,Fair,31,Synthetic,Outdoors,0
OL,Controlled Climate,68,Synthetic,Indoors,0
DB,Cloudy,73,Synthetic,Outdoor,0
OL,Partly Cloudy,48,Natural,Oudoor,0
DB,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
QB,Sunny,46,Natural,Outdoors,0
OL,Clear,79,Natural,Outdoor,0
DL,Rain,53,Synthetic,Outdoor,0
WR,Mostly Cloudy,85,Synthetic,Indoors,0
OL,Partly Sunny,87,Natural,Outdoor,0
DB,Rain,62,Synthetic,Outdoor,0
LB,Partly cloudy,70,Natural,Outdoor,0
LB,Cloudy,44,Synthetic,Outdoor,0
DB,Clear,55,Natural,Outdoor,0
DB,Cloudy,61,Natural,Outdoor,0
WR,Rain,42,Synthetic,Outdoors,0
OL,Clear,44,Natural,Outdoor,0
LB,Cloudy,52,Natural,Outdoor,0
OL,Cloudy,26,Natural,Outdoor,0
DB,Cloudy,37,Natural,Outdoor,0
LB,Sunny,55,Natural,Outdoor,0
WR,Cloudy,33,Natural,Heinz Field,0
DB,Showers,77,Natural,Outdoor,0
TE,Clear,76,Natural,Outdoor,0
DB,Sunny,46,Natural,Outdoor,0
DB,Mostly Sunny Skies,73,Natural,Open,0
OL,Clear,76,Natural,Outdoor,0
LB,Clear,10,Natural,Outdoor,0
LB,Cloudy,29,Natural,Outdoor,0
RB,Sunny,57,Synthetic,Indoors,0
RB,Sunny,67,Natural,Outdoors,0
DB,Cloudy and Cool,62,Synthetic,Outdoor,0
WR,Partly Sunny,53,Natural,Outdoor,0
OL,Sunny,54,Natural,Open,0
DB,Cloudy,46,Synthetic,Outdoor,0
DB,Cloudy,48,Natural,Outdoor,0
DL,Mostly Cloudy,51,Synthetic,Outdoor,0
LB,Partly Cloudy,72,Natural,Outdoor,0
DB,Cloudy,42,Synthetic,Retr. Roof-Closed,0
DL,Sunny,72,Natural,Outdoor,0
DB,Clear to Partly Cloudy,83,Natural,Outdoor,0
OL,Cloudy,77,Synthetic,Outdoor,0
WR,Mostly cloudy,22,Synthetic,Outdoors,0
LB,Sunny,36,Natural,Outdoor,0
DL,Sunny,88,Synthetic,Outdoor,0
DB,Mostly Cloudy,73,Natural,Outdoor,0
OL,Clear and warm,63,Synthetic,Outdoor,0
DL,Sunny,76,Natural,Outdoor,0
OL,Clear,44,Natural,Outdoor,0
TE,Sunny,84,Synthetic,Outdoor,0
WR,Sunny,56,Synthetic,Indoors,0
DB,Clear,76,Natural,Outdoor,0
LB,Rain,63,Synthetic,Outdoor,0
DB,Cloudy,44,Synthetic,Outdoor,0
DB,Rain,36,Synthetic,Outdoor,0
DL,Mostly Cloudy,65,Synthetic,Outdoor,0
WR,Rain,58,Natural,Outdoor,0
LB,Cloudy,44,Synthetic,Outdoor,0
OL,Cloudy,43,Natural,Outdoor,0
OL,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
WR,Mostly Cloudy,35,Synthetic,Outdoor,0
OL,Cloudy,40,Natural,Outdoors,0
LB,Rain,61,Natural,Outdoor,0
DB,Mostly Cloudy,35,Synthetic,Outdoor,0
OL,Clear,88,Natural,Outdoor,0
LB,Clear,53,Natural,Outdoors,0
DB,Controlled Climate,68,Synthetic,Indoors,0
WR,Sunny,63,Natural,Outdoor,0
DB,Partly Cloudy,76,Natural,Open,0
LB,Mostly Cloudy,60,Natural,Outdoor,0
OL,Scattered Showers,89,Natural,Outdoor,0
DB,Cloudy,35,Synthetic,Outdoor,0
DL,Cloudy,47,Natural,Outdoors,0
OL,Partly Cloudy,80,Natural,Outdoor,0
WR,Clear,44,Natural,Outdoor,0
OL,Clear,82,Natural,Outdoor,0
RB,Sunny,78,Natural,Outdoor,0
QB,Cloudy,45,Synthetic,Outdoor,0
DL,Cloudy,65,Natural,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
DL,Cloudy,72,Natural,Outdoor,0
LB,Clear,71,Natural,Outdoor,0
OL,Cloudy,17,Natural,Outdoor,0
DL,Cloudy,80,Natural,Outdoor,0
DB,Cloudy,60,Synthetic,Outdoor,0
WR,Clear,73,Natural,Outdoor,0
DB,Mostly Sunny,87,Synthetic,Outdoor,0
LB,Sunny,36,Natural,Outdoor,0
SPEC,"Sunny, highs to upper 80s",89,Natural,Outdoor,0
WR,Cloudy,68,Natural,Outdoor,0
DB,Cloudy,79,Natural,Outdoor,0
DB,Sunny,88,Synthetic,Outdoor,0
LB,Partly Cloudy,54,Synthetic,Outdoor,0
WR,Cloudy,77,Natural,Outdoor,0
DB,Clear skies,54,Synthetic,Outdoors,0
WR,Sunny,70,Natural,Dome,0
DB,Mostly Cloudy,60,Natural,Outdoor,0
DB,"Cloudy with periods of rain, thunder possible. Winds shifting to WNW, 10-20 mph.",70,Natural,Outdoor,0
RB,Partly Cloudy,55,Natural,Outdoor,0
LB,Cloudy and cold,13,Synthetic,Outdoor,0
DB,Sunny,60,Natural,Outdoor,0
DB,Sunny,47,Synthetic,Retr. Roof-Open,0
DL,"Cloudy, Rain",43,Natural,Outdoor,0
WR,Cloudy,43,Natural,Outdoor,0
DB,Partly Cloudy,80,Natural,Outdoor,0
OL,Cloudy,80,Natural,Outdoor,0
LB,Cloudy,67,Natural,Outdoor,0
DB,Mostly Coudy,69,Synthetic,Outdoor,0
OL,Light Rain,61,Natural,Outdoor,0
OL,"Cloudy, light snow accumulating 1-3""",24,Natural,Outdoor,0
DB,Sunny,45,Natural,Outdoor,0
DB,Sunny,46,Natural,Outdoor,0
DL,Heavy lake effect snow,32,Synthetic,Outdoors,0
LB,Cloudy,33,Synthetic,Retr. Roof-Closed,0
DB,Cloudy,46,Synthetic,Retractable Roof,0
RB,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
WR,Mostly Sunny,39,Synthetic,Outdoor,0
OL,Partly Cloudy,33,Natural,Outdoor,0
DB,Sunny,62,Natural,Outdoors,0
DB,Cloudy,53,Synthetic,Outdoor,0
LB,Indoors,53,Synthetic,Dome,0
DB,Clear,44,Natural,Outdoor,0
DB,Rain Chance 40%,97,Natural,Open,0
DB,Sunny,80,Synthetic,Retractable Roof,0
WR,Partly Cloudy,62,Natural,Outdoor,0
DB,Rain shower,39,Synthetic,Outdoors,0
DL,Partly Cloudy,46,Synthetic,Outdoor,0
OL,Controlled Climate,68,Synthetic,Indoors,0
LB,Sunny,44,Natural,Outdoor,0
DB,Partly Cloudy,78,Synthetic,Retractable Roof,0
RB,Light Rain,63,Synthetic,Outdoor,0
RB,Indoor,70,Synthetic,Indoors,0
RB,Cloudy,33,Natural,Outdoor,0
WR,Cloudy,77,Synthetic,Indoors,0
WR,Partly Cloudy,78,Synthetic,Retractable Roof,0
RB,Clear and Cool,40,Synthetic,Outdoor,0
OL,Cloudy,65,Natural,Outdoor,0
QB,Partly Cloudy,48,Natural,Oudoor,0
WR,Partly Cloudy,80,Natural,Outdoor,0
DB,Sunny,47,Synthetic,Outdoor,0
DL,Controlled Climate,68,Synthetic,Indoors,0
WR,Cloudy,68,Natural,Outdoor,0
DL,Cloudy,65,Natural,Outdoor,0
DB,Mostly Sunny,71,Natural,Outdoor,0
LB,Clear,79,Natural,Outdoor,0
DB,Light Rain,61,Natural,Outdoor,0
LB,Snow,11,Natural,Outdoors,0
LB,Cloudy,44,Natural,Outdoor,0
LB,Clear skies,74,Synthetic,Indoor,0
DL,Mostly Cloudy,80,Natural,Outdoor,0
WR,Partly Cloudy,86,Natural,Outdoor,0
LB,Sunny,68,Natural,Outdoor,0
DB,Partly Cloudy,80,Natural,Outdoors,0
DB,Cloudy,53,Natural,Outdoor,0
DB,Clear,76,Natural,Outdoor,0
DB,Sunny,61,Synthetic,Outdoor,0
DB,Sunny,27,Natural,Outdoor,0
LB,Sunny,84,Natural,Outdoor,0
DL,Partly Cloudy,46,Natural,Outdoor,0
DL,Mostly Cloudy,65,Synthetic,Outdoor,0
LB,Rain Chance 40%,97,Natural,Open,0
DL,Clear,69,Natural,Outdoor,0
WR,Cloudy,50,Natural,Outdoor,0
DB,Sunny,52,Natural,Outdoors,0
OL,Clear,61,Natural,Outdoor,0
DB,Partly Cloudy,64,Natural,Bowl,0
LB,Cloudy,77,Synthetic,Indoors,0
DL,Cloudy,77,Natural,Outdoor,0
DB,Cloudy,45,Synthetic,Outdoor,0
LB,Cold,38,Natural,Outdoor,0
OL,Scattered Showers,89,Natural,Outdoor,0
LB,Clear and Cool,40,Synthetic,Outdoor,0
OL,Cloudy,61,Natural,Outdoor,0
QB,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
LB,Sunny,57,Synthetic,Indoors,0
WR,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
OL,Mostly Cloudy,60,Natural,Outdoor,0
WR,Cloudy,79,Natural,Outdoor,0
DL,Sunny,83,Synthetic,Outdoors,0
QB,Clear,62,Natural,Outdoor,0
OL,Cloudy,43,Synthetic,Outdoor,0
WR,Indoors,68,Synthetic,Domed,0
WR,Cloudy,58,Natural,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
LB,Sunny,44,Natural,Outdoor,0
OL,Sunny,66,Natural,Outdoor,0
WR,Clear,82,Natural,Outdoor,0
LB,Sunny,81,Natural,Ourdoor,0
QB,Cloudy,71,Natural,Outdoor,0
OL,Sunny,80,Natural,Outdoors,0
LB,Mostly Coudy,69,Synthetic,Outdoor,0
TE,Clear,71,Natural,Dome,0
LB,Clear,75,Natural,Outdoor,0
WR,Cloudy,42,Natural,Outdoors,0
DB,Cloudy,48,Natural,Outdoor,0
WR,Sunny,83,Synthetic,Outdoors,0
DB,Cloudy,65,Natural,Outdoor,0
LB,Sunny,72,Natural,Outdoor,0
WR,Clear,82,Natural,Outdoor,0
DB,Partly Cloudy,56,Natural,Outdoors,0
OL,Partly Cloudy,89,Synthetic,Retractable Roof,0
LB,Rain,52,Natural,Outdoor,0
OL,Rain,58,Natural,Outdoor,0
WR,Clear,73,Natural,Outdoor,0
DB,Mostly Cloudy,42,Natural,Outdoors,0
DL,Sunny and clear,43,Natural,Outdoor,0
DB,Sunny,80,Natural,Outdoors,0
LB,Controlled Climate,68,Synthetic,Indoors,0
LB,Cloudy,33,Natural,Heinz Field,0
OL,Cloudy,52,Natural,Outdoor,0
DB,Cloudy,76,Natural,Outdoor,0
DB,Cloudy,48,Natural,Outdoor,0
OL,Partly Cloudy,84,Natural,Open,0
DB,Sunny,81,Natural,Ourdoor,0
RB,Partly Clouidy,60,Natural,Outdoor,0
OL,Clear,57,Natural,Outdoors,0
LB,Partly Cloudy,56,Natural,Outdoors,0
RB,Cloudy,48,Natural,Outdoor,0
DL,Cloudy,83,Natural,Outdoor,0
DL,Cloudy,53,Synthetic,Outdoor,0
WR,Sunny,66,Natural,Outdoor,0
DL,Clear,71,Natural,Outdoor,0
DL,Sunny,65,Natural,Outdoor,0
OL,Mostly Cloudy,65,Synthetic,Outdoor,0
OL,Cloudy,33,Natural,Outdoor,0
OL,Clear,53,Natural,Outdoors,0
WR,Sunny,36,Natural,Outdoor,0
LB,Cloudy,46,Synthetic,Outdoor,0
DB,Showers,77,Natural,Outdoor,0
OL,"Cloudy, light snow accumulating 1-3""",24,Natural,Outdoor,0
WR,Sunny,83,Synthetic,Retr. Roof - Closed,0
QB,Clear and cold,40,Synthetic,Outdoor,0
OL,Partly Cloudy,33,Natural,Outdoor,0
DB,Partly Cloudy,62,Natural,Outdoor,0
OL,"Rain likely, temps in low 40s.",39,Natural,Outdoor,0
LB,Clear,38,Natural,Outdoors,0
DL,Sunny,75,Natural,Outdoor,0
WR,"Rain likely, temps in low 40s.",39,Natural,Outdoor,0
DB,Sunny,55,Natural,Outdoor,0
OL,Sunny and clear,43,Natural,Outdoor,0
WR,Controlled Climate,68,Synthetic,Indoors,0
DB,10% Chance of Rain,78,Natural,Open,0
LB,Sunny,61,Natural,Outdoor,0
DB,Sunny,28,Natural,Outdoor,0
WR,Partly cloudy,70,Natural,Outdoor,0
RB,Cloudy,53,Natural,Outdoors,0
OL,Sunny,83,Synthetic,Outdoors,0
OL,Cloudy,52,Natural,Outdoors,0
TE,Sunny,70,Natural,Dome,0
WR,Mostly cloudy,48,Synthetic,Outdoors,0
DB,Cloudy,61,Natural,Outdoor,0
DL,Snow,11,Natural,Outdoors,0
DB,Clear,38,Natural,Outdoor,0
WR,Indoors,64,Synthetic,Domed,0
WR,Partly Cloudy,56,Natural,Outdoor,0
DB,Controlled Climate,68,Synthetic,Indoors,0
DB,Cloudy,91,Natural,Outdoor,0
OL,Cloudy,80,Natural,Outdoor,0
DB,Mostly Cloudy,60,Natural,Outdoor,0
DB,Overcast,43,Synthetic,Outdoor,0
DB,Mostly Cloudy,73,Natural,Outdoor,0
DB,Partly Sunny,53,Natural,Outdoor,0
LB,Cloudy,25,Natural,Outdoor,0
DB,Sunny,52,Natural,Outdoor,0
QB,Mostly sunny,49,Synthetic,Outdoors,0
WR,Controlled Climate,68,Synthetic,Indoors,0
WR,Sunny,64,Natural,Outdoor,0
OL,Partly Cloudy,47,Synthetic,Outdoor,0
RB,Partly cloudy,46,Synthetic,Outdoors,0
DL,Clear,82,Natural,Outdoor,0
WR,Mostly cloudy,67,Synthetic,"Domed, open",0
WR,Cloudy,44,Synthetic,Outdoors,0
LB,Indoors,68,Synthetic,Dome,0
WR,Sunny,27,Natural,Outdoor,0
DB,Partly Cloudy,47,Synthetic,Outdoor,0
OL,Partly Sunny,87,Natural,Outdoor,0
LB,Mostly Cloudy,60,Natural,Outdoor,0
TE,Clear,33,Natural,Outdoor,0
OL,Partly Cloudy,72,Natural,Outdoor,0
OL,Mostly Cloudy,25,Natural,Outdoor,0
DB,Partly Cloudy,80,Natural,Outdoors,0
WR,Controlled Climate,68,Synthetic,Indoors,0
WR,Clear and sunny,70,Natural,Outdoor,0
DB,Clear,90,Synthetic,Indoors,0
DL,Partly Cloudy,86,Synthetic,Indoors,0
WR,Sunny and clear,43,Natural,Outdoor,0
LB,Clear,79,Natural,Outdoor,0
LB,Sunny,61,Synthetic,Outdoor,0
WR,Clear,79,Natural,Outdoor,0
OL,Sunny,84,Natural,Outdoor,0
DL,Cloudy,46,Synthetic,Retractable Roof,0
DB,Cloudy,83,Natural,Outdoor,0
DB,Hazy,62,Natural,Outdoor,0
DB,Partly Cloudy,79,Synthetic,Indoors,0
OL,Cloudy,53,Natural,Outdoors,0
LB,Cloudy,77,Synthetic,Outdoor,0
WR,Mostly Cloudy,35,Synthetic,Outdoor,0
DL,Clear,82,Natural,Dome,0
OL,Cloudy,77,Natural,Outdoor,0
OL,Sunny,60,Synthetic,Retractable Roof,0
QB,Cloudy and cold,13,Synthetic,Outdoor,0
WR,Sunny,51,Natural,Outdoor,0
LB,Cloudy,26,Natural,Outdoor,0
LB,Cloudy,25,Natural,Outdoor,0
OL,Cloudy,53,Natural,Outdoor,0
DB,Sunny,60,Synthetic,Retractable Roof,0
OL,Scattered Showers,89,Natural,Outdoor,0
DL,Partly Cloudy,64,Natural,Bowl,0
QB,Mostly Cloudy,85,Synthetic,Indoors,0
LB,Cloudy,70,Natural,Outdoor,0
QB,Sunny,44,Natural,Outdoor,0
DB,Rain,67,Natural,Outdoor,0
LB,Cloudy,33,Natural,Heinz Field,0
DB,Mostly Sunny,41,Natural,Outdoor,0
DB,Sunny,57,Synthetic,Indoors,0
OL,Light Rain,61,Natural,Outdoor,0
DB,Sunny,84,Synthetic,Outdoor,0
DB,Sunny,84,Synthetic,Outdoor,0
QB,"Cloudy, fog started developing in 2nd quarter",56,Synthetic,Outdoor,0
LB,Sunny,52,Natural,Outdoors,0
DB,Clear,55,Natural,Outdoor,0
TE,Mostly Sunny,68,Natural,Outdoor,0
DB,Partly Cloudy,85,Synthetic,Retractable Roof,0
LB,Mostly Cloudy,51,Synthetic,Retractable Roof,0
DB,Sunny,63,Synthetic,Outdoor,0
OL,Cloudy,55,Natural,Outdoors,0
DB,Sunny,46,Natural,Outdoors,0
DL,Clear,40,Natural,Outdoors,0
WR,Partly Cloudy,83,Synthetic,Retractable Roof,0
WR,Clear,71,Natural,Outdoor,0
DB,Sunny,52,Natural,Outdoor,0
DB,30% Chance of Rain,88,Natural,Open,0
DB,Clear and Cool,40,Synthetic,Outdoor,0
DL,Clear,75,Natural,Outdoor,0
OL,Light Rain,61,Natural,Outdoor,0
DL,Cloudy,79,Natural,Outdoor,0
OL,Sunny,72,Natural,Outdoors,0
LB,Cloudy,33,Synthetic,Retr. Roof-Closed,0
DB,Partly Cloudy,80,Natural,Outdoors,0
DB,Cloudy and Cool,62,Synthetic,Outdoor,0
WR,Sunny,79,Natural,Outdoors,0
LB,cloudy,66,Natural,Outdoor,0
OL,Cloudy,58,Natural,Outdoor,0
QB,Mostly Cloudy,82,Natural,Outdoor,0
LB,Heavy lake effect snow,32,Synthetic,Outdoors,0
DL,Clear,33,Natural,Outdoor,0
DB,Partly clear,60,Synthetic,"Domed, open",0
DB,Clear skies,74,Synthetic,Indoor,0
OL,Cloudy,39,Natural,Outdoors,0
WR,Cloudy,48,Natural,Outdoor,0
OL,Partly Cloudy,78,Synthetic,Retractable Roof,0
LB,Mostly Cloudy,80,Natural,Outdoor,0
QB,Sunny,61,Synthetic,Outdoor,0
OL,Cloudy,68,Natural,Outdoor,0
LB,Indoors,68,Synthetic,Domed,0
OL,Cloudy,33,Natural,Outdoor,0
LB,Cloudy,67,Natural,Outdoor,0
DB,Cloudy,43,Natural,Outdoor,0
OL,Sunny,73,Natural,Outdoor,0
DL,Sunny,88,Natural,Outddors,0
LB,Sunny,61,Synthetic,Outdoor,0
OL,Sunny,80,Synthetic,Retractable Roof,0
OL,Cloudy,42,Natural,Outdoors,0
WR,Cloudy,65,Natural,Outdoor,0
WR,Clear,61,Synthetic,Outdoor,0
LB,Cloudy,48,Synthetic,Outdoor,0
WR,Partly Cloudy,83,Synthetic,Retractable Roof,0
DB,Partly clear,60,Synthetic,"Domed, open",0
LB,Cloudy,83,Natural,Outdoor,0
RB,Cloudy,66,Natural,Outdoor,0
WR,Mostly Cloudy,37,Natural,Outdoor,0
DL,Rain,62,Natural,Outdoor,0
DB,Cloudy,60,Natural,Outdoor,0
DB,Sunny,52,Natural,Outdoors,0
OL,Sunny,19,Natural,Outdoor,0
LB,Sunny,55,Natural,Outdoor,0
TE,Cloudy,35,Synthetic,Outdoor,0
DL,Cloudy,68,Natural,Outdoor,0
DB,Rain,62,Synthetic,Outdoor,0
DL,Rain,53,Synthetic,Outdoor,0
DL,Sunny,36,Natural,Outdoor,0
LB,Mostly Cloudy,80,Natural,Outdoor,0
DB,Sunny,46,Synthetic,Retr. Roof-Closed,0
RB,Sunny,51,Natural,Outdoor,0
DL,Controlled Climate,68,Synthetic,Indoors,0
OL,Cloudy,66,Synthetic,Retractable Roof,0
DB,Sunny,66,Natural,Outdoors,0
LB,Rain,60,Natural,Outdoor,0
WR,Clear,71,Natural,Outdoor,0
DB,Clear,33,Natural,Outdoor,0
DL,Cloudy,42,Synthetic,Outdoors,0
OL,Sunny,40,Synthetic,Outdoor,0
QB,Sunny and warm,65,Synthetic,Outdoor,0
DB,Rain,60,Natural,Outdoor,0
DL,cloudy,66,Natural,Outdoor,0
DB,Cloudy,91,Natural,Outdoor,0
OL,Clear and Sunny,56,Natural,Outdoor,0
OL,Cloudy,53,Natural,Outdoor,0
DB,Cloudy,77,Synthetic,Outdoor,0
OL,Rain,36,Synthetic,Outdoor,0
OL,Rain,58,Natural,Outdoor,0
OL,Clear,71,Natural,Outdoor,0
LB,30% Chance of Rain,88,Natural,Open,0
LB,Cloudy,59,Synthetic,Retr. Roof - Closed,0
TE,Cloudy,53,Natural,Outdoors,0
WR,Partly Cloudy,71,Natural,Outdoor,0
